v4_4,Measure Type,Unit Multiplier,Data Marking,CV,calendar-years,admin-geography,ashe-statistics,ashe-sex,ashe-working-pattern,ashe-hours-and-earnings,ashe-workplace-or-residence
28.5,Count,1,,4.5,2016,E12000001,90,male,part-time,paid-hours-worked-basic,workplace
358.1,GBP,1,,4.1,2016,E06000004,mean,female,all,basic-pay-including-other-pay,workplace
1.1,Count,1,,2.6,2016,K04000001,25,female,part-time,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000001,90,all,full-time,paid-hours-worked-overtime,workplace
9.5,Count,1,,1.4,2016,K02000001,20,all,part-time,paid-hours-worked-basic,workplace
377.4,GBP,1,,9.7,2016,E12000001,90,all,part-time,basic-pay-including-other-pay,workplace
139.0,GBP,1,,15.0,2016,E06000001,40,all,part-time,weekly-pay-excluding-overtime,workplace
32.4,Count,1,,0.1,2016,E92000001,10,female,full-time,paid-hours-worked-basic,workplace
,Count,1,x,28.0,2016,E06000002,median,female,all,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,K04000001,75,male,full-time,paid-hours-worked-basic,workplace
545.9,GBP,1,,6.9,2016,E06000005,60,male,all,weekly-pay-gross,workplace
34.9,Count,1,,0.4,2016,E12000001,20,female,full-time,paid-hours-worked-basic,workplace
597.6,GBP,1,,16.0,2016,E06000003,80,all,full-time,basic-pay-including-other-pay,workplace
,Count,1,x,23.0,2016,E06000004,40,all,full-time,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000004,25,female,part-time,paid-hours-worked-overtime,workplace
23.0,Count,1,,13.0,2016,E06000003,70,all,part-time,paid-hours-worked-basic,workplace
162.7,GBP,1,,15.0,2016,E06000005,median,all,part-time,basic-pay-including-other-pay,workplace
785.8,GBP,1,,0.4,2016,K02000001,75,male,full-time,weekly-pay-excluding-overtime,workplace
37.5,Count,1,,0.1,2016,E92000001,70,female,full-time,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000002,75,female,all,paid-hours-worked-overtime,workplace
43.2,Count,1,,0.6,2016,E92000001,90,male,full-time,paid-hours-worked-basic,workplace
719.6,GBP,1,,15.0,2016,E06000005,80,male,all,weekly-pay-gross,workplace
35.0,Count,1,,3.1,2016,E06000005,25,female,full-time,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000005,60,all,part-time,paid-hours-worked-overtime,workplace
195.4,GBP,1,,0.5,2016,K04000001,60,all,part-time,basic-pay-including-other-pay,workplace
309.4,GBP,1,,0.2,2016,K03000001,30,all,all,weekly-pay-gross,workplace
37.5,Count,1,,0.1,2016,K03000001,median,male,full-time,paid-hours-worked-basic,workplace
,GBP,1,x,78.0,2016,E12000001,90,male,part-time,weekly-pay-excluding-overtime,workplace
612.7,GBP,1,,0.2,2016,K03000001,60,male,full-time,basic-pay-including-other-pay,workplace
36.8,Count,1,,0.3,2016,E12000001,mean,female,full-time,paid-hours-worked-basic,workplace
0.5,Count,1,,4.0,2016,K02000001,10,all,part-time,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000002,75,male,full-time,paid-hours-worked-basic,workplace
506.4,GBP,1,,6.7,2016,E06000003,mean,male,all,weekly-pay-gross,workplace
,Count,1,x,x,2016,E06000001,10,female,full-time,paid-hours-worked-basic,workplace
,Count,1,x,46.0,2016,E06000004,40,all,part-time,paid-hours-worked-overtime,workplace
,GBP,1,x,27.0,2016,E06000005,25,all,part-time,basic-pay-including-other-pay,workplace
221.4,GBP,1,,1.0,2016,K03000001,10,male,all,weekly-pay-gross,workplace
,Count,1,x,x,2016,E92000001,75,male,full-time,paid-hours-worked-basic,workplace
287.5,GBP,1,,0.1,2016,K04000001,10,female,full-time,weekly-pay-excluding-overtime,workplace
39.9,Count,1,,3.0,2016,E06000005,80,female,full-time,paid-hours-worked-basic,workplace
